Job,Task Characteristic,Column,Value
Art Directors,Work-Methods Autonomy,Work Context - Structural Job Charateristics,7
Marketing Managers,Work-Methods Autonomy,Work Context - Structural Job Charateristics,7
"Career/Technical Education Teachers, Secondary School",Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
Administrative Services Managers,Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
Computer and Information Systems Managers,Work-Methods Autonomy,Work Context - Interpersonal Relationships,7
Chief Executives,Work-Methods Autonomy,Work Context - Interpersonal Relationships,7
"Architects, Except Landscape and Naval",Work-Methods Autonomy,Work Activities - Interacting with Others,6
Brownfield Redevelopment Specialists and Site Managers,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
"Meeting, Convention, and Event Planners",Work-Methods Autonomy,Work Context - Interpersonal Relationships,7
"Dentists, General",Work-Methods Autonomy,Work Context - Structural Job Charateristics,7
"Transportation, Storage, and Distribution Managers",Work-Methods Autonomy,Work Activities - Interacting with Others cont.,6
Transportation Engineers,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
"Education and Childcare Administrators, Preschool and Daycare",Work-Methods Autonomy,Work Context - Structural Job Charateristics,7
Hospitalists,Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
Stonemasons,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
Fashion Designers,Work-Methods Autonomy,Work Context - Structural Job Charateristics,7
Brickmasons and Blockmasons,Work-Methods Autonomy,Work Activities - Interacting with Others,6
Landscape Architects,Work-Methods Autonomy,Work Activities - Interacting with Others,6
Supply Chain Managers,Work-Methods Autonomy,Work Activities - Interacting with Others,6
"Mining and Geological Engineers, Including Mining Safety Engineers",Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
Purchasing Managers,Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
Gambling Managers,Work-Methods Autonomy,Work Context - Interpersonal Relationships,7
First-Line Supervisors of Non-Retail Sales Workers,Work-Methods Autonomy,Work Context - Interpersonal Relationships,7
Biofuels Production Managers,Work-Methods Autonomy,Work Activities - Interacting with Others cont.,6
"Architecture Teachers, Postsecondary",Work-Methods Autonomy,Work Context - Structural Job Charateristics,7
Financial Managers,Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
Highway Maintenance Workers,Work-Methods Autonomy,Work Activities - Interacting with Others,5
Survey Researchers,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
"Farmers, Ranchers, and Other Agricultural Managers",Work-Methods Autonomy,Work Context - Structural Job Charateristics,7
Nurse Midwives,Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
"Painters, Construction and Maintenance",Work-Methods Autonomy,Work Activities - Interacting with Others,5
Biofuels/Biodiesel Technology and Product Development Managers,Work-Methods Autonomy,Work Context - Structural Job Charateristics,7
"Dispatchers, Except Police, Fire, and Ambulance",Work-Methods Autonomy,Work Context - Interpersonal Relationships,7
"Education Administrators, Postsecondary",Work-Methods Autonomy,Work Context - Structural Job Charateristics,7
Oral and Maxillofacial Surgeons,Work-Methods Autonomy,Work Context - Interpersonal Relationships,7
"Fraud Examiners, Investigators and Analysts",Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
Power Distributors and Dispatchers,Work-Methods Autonomy,Work Context - Interpersonal Relationships,7
Residential Advisors,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
First-Line Supervisors of Retail Sales Workers,Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
Forest and Conservation Technicians,Work-Methods Autonomy,Work Activities - Interacting with Others,6
"Engineering Teachers, Postsecondary",Work-Methods Autonomy,Work Context - Structural Job Charateristics,7
Petroleum Engineers,Work-Methods Autonomy,Work Context - Structural Job Charateristics,7
Sports Medicine Physicians,Work-Methods Autonomy,Work Context - Structural Job Charateristics,7
"Forestry and Conservation Science Teachers, Postsecondary",Work-Methods Autonomy,Work Context - Structural Job Charateristics,7
Surveyors,Work-Methods Autonomy,Work Activities - Interacting with Others,5
Cement Masons and Concrete Finishers,Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
Industrial Production Managers,Work-Methods Autonomy,Work Context - Structural Job Charateristics,7
"Child, Family, and School Social Workers",Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
"Rail Yard Engineers, Dinkey Operators, and Hostlers",Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
Physical Therapists,Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
Rail-Track Laying and Maintenance Equipment Operators,Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
First-Line Supervisors of Food Preparation and Serving Workers,Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
Psychiatric Aides,Work-Methods Autonomy,Work Context - Interpersonal Relationships,5
Environmental Engineers,Work-Methods Autonomy,Work Activities - Interacting with Others,6
Geodetic Surveyors,Work-Methods Autonomy,Work Activities - Interacting with Others,5
Preventive Medicine Physicians,Work-Methods Autonomy,Work Context - Structural Job Charateristics,7
Computer Systems Engineers/Architects,Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
Regulatory Affairs Specialists,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
Forest Fire Inspectors and Prevention Specialists,Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
Business Continuity Planners,Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
Health Informatics Specialists,Work-Methods Autonomy,Work Context - Interpersonal Relationships,7
Clinical Nurse Specialists,Work-Methods Autonomy,Work Context - Interpersonal Relationships,7
Acute Care Nurses,Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
Media Technical Directors/Managers,Work-Methods Autonomy,Work Context - Interpersonal Relationships,7
Radiation Therapists,Work-Methods Autonomy,Work Activities - Interacting with Others,5
"Explosives Workers, Ordnance Handling Experts, and Blasters",Work-Methods Autonomy,Work Activities - Interacting with Others,5
"Recreation and Fitness Studies Teachers, Postsecondary",Work-Methods Autonomy,Work Context - Structural Job Charateristics,7
"Special Education Teachers, Secondary School",Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
"First-Line Supervisors of Farming, Fishing, and Forestry Workers",Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
Optometrists,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
"Insulation Workers, Mechanical",Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
Occupational Therapy Aides,Work-Methods Autonomy,Work Context - Interpersonal Relationships,5
Phlebotomists,Work-Methods Autonomy,Work Context - Interpersonal Relationships,5
Coaches and Scouts,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",Work-Methods Autonomy,Work Context - Interpersonal Relationships,5
Registered Nurses,Work-Methods Autonomy,Work Context - Interpersonal Relationships,7
Cost Estimators,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
Airfield Operations Specialists,Work-Methods Autonomy,Work Context - Structural Job Charateristics,7
Video Game Designers,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
Logisticians,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
Nurse Anesthetists,Work-Methods Autonomy,Work Context - Structural Job Charateristics,7
Community Health Workers,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
Helpers--Roofers,Work-Methods Autonomy,Work Activities - Interacting with Others,5
First-Line Supervisors of Production and Operating Workers,Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
"Career/Technical Education Teachers, Middle School",Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
Security Guards,Work-Methods Autonomy,Work Context - Interpersonal Relationships,5
Automotive Engineers,Work-Methods Autonomy,Work Activities - Interacting with Others,6
Industrial-Organizational Psychologists,Work-Methods Autonomy,Work Context - Structural Job Charateristics,7
Plasterers and Stucco Masons,Work-Methods Autonomy,Work Activities - Interacting with Others,5
Transportation Planners,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
Farm and Home Management Educators,Work-Methods Autonomy,Work Context - Structural Job Charateristics,7
Carpenters,Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
Public Relations Specialists,Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
Critical Care Nurses,Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
Accountants and Auditors,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
Construction Laborers,Work-Methods Autonomy,Work Activities - Interacting with Others,5
Dermatologists,Work-Methods Autonomy,Work Context - Structural Job Charateristics,7
Conservation Scientists,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
Physical Medicine and Rehabilitation Physicians,Work-Methods Autonomy,Work Context - Interpersonal Relationships,7
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
"Pediatricians, General",Work-Methods Autonomy,Work Context - Structural Job Charateristics,7
Water Resource Specialists,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
Range Managers,Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
Financial Examiners,Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
"Psychology Teachers, Postsecondary",Work-Methods Autonomy,Work Context - Structural Job Charateristics,7
Forest and Conservation Workers,Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
Compliance Managers,Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
Fire Inspectors and Investigators,Work-Methods Autonomy,Work Context - Structural Job Charateristics,7
Materials Engineers,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
Music Directors and Composers,Work-Methods Autonomy,Work Context - Structural Job Charateristics,7
Geothermal Technicians,Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
Prosthodontists,Work-Methods Autonomy,Work Context - Interpersonal Relationships,7
Helpers--Extraction Workers,Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
First-Line Supervisors of Office and Administrative Support Workers,Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
"Rotary Drill Operators, Oil and Gas",Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
Clinical Data Managers,Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
"Elementary School Teachers, Except Special Education",Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
Licensed Practical and Licensed Vocational Nurses,Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
"Middle School Teachers, Except Special and Career/Technical Education",Work-Methods Autonomy,Work Context - Interpersonal Relationships,7
Orthodontists,Work-Methods Autonomy,Work Context - Structural Job Charateristics,7
Floor Sanders and Finishers,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
Operating Engineers and Other Construction Equipment Operators,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
"Special Education Teachers, Middle School",Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
Nuclear Medicine Technologists,Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
Psychiatric Technicians,Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
Concierges,Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
Agricultural Equipment Operators,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
Zoologists and Wildlife Biologists,Work-Methods Autonomy,Work Context - Structural Job Charateristics,7
"Anthropology and Archeology Teachers, Postsecondary",Work-Methods Autonomy,Work Context - Structural Job Charateristics,7
Chiropractors,Work-Methods Autonomy,Work Context - Structural Job Charateristics,7
Advanced Practice Psychiatric Nurses,Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
"Excavating and Loading Machine and Dragline Operators, Surface Mining",Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
Archivists,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
"Kindergarten Teachers, Except Special Education",Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
Patient Representatives,Work-Methods Autonomy,Work Context - Interpersonal Relationships,5
Weatherization Installers and Technicians,Work-Methods Autonomy,Work Context - Interpersonal Relationships,5
"Interviewers, Except Eligibility and Loan",Work-Methods Autonomy,Work Activities - Interacting with Others cont.,5
Medical Secretaries and Administrative Assistants,Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
Chemical Engineers,Work-Methods Autonomy,Work Activities - Interacting with Others,6
Water/Wastewater Engineers,Work-Methods Autonomy,Work Activities - Interacting with Others,5
Bioengineers and Biomedical Engineers,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
Agricultural Engineers,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
Commercial Divers,Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
Biologists,Work-Methods Autonomy,Work Context - Structural Job Charateristics,7
Compensation and Benefits Managers,Work-Methods Autonomy,Work Context - Structural Job Charateristics,7
Robotics Engineers,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
Terrazzo Workers and Finishers,Work-Methods Autonomy,Work Activities - Interacting with Others,5
Substance Abuse and Behavioral Disorder Counselors,Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
Training and Development Specialists,Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
"Art, Drama, and Music Teachers, Postsecondary",Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
Nuclear Power Reactor Operators,Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
Police and Sheriff's Patrol Officers,Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
Real Estate Sales Agents,Work-Methods Autonomy,Work Context - Structural Job Charateristics,7
Healthcare Social Workers,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
Orthotists and Prosthetists,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
Document Management Specialists,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
Crane and Tower Operators,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
Nursing Assistants,Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
Market Research Analysts and Marketing Specialists,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
Roofers,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
Wind Energy Engineers,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
Firefighters,Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
Mechanical Engineering Technologists and Technicians,Work-Methods Autonomy,Work Activities - Interacting with Others,5
"Secondary School Teachers, Except Special and Career/Technical Education",Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
Solar Photovoltaic Installers,Work-Methods Autonomy,Work Activities - Interacting with Others,5
"Special Education Teachers, Preschool",Work-Methods Autonomy,Work Context - Interpersonal Relationships,5
Food Preparation Workers,Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
Bailiffs,Work-Methods Autonomy,Work Context - Interpersonal Relationships,5
Bartenders,Work-Methods Autonomy,Work Context - Structural Job Charateristics,5
"Cooks, Restaurant",Work-Methods Autonomy,Work Context - Interpersonal Relationships,5
Logistics Engineers,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
Treasurers and Controllers,Work-Methods Autonomy,Work Activities - Interacting with Others cont.,6
Anthropologists and Archeologists,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
Radiologists,Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
Bioinformatics Scientists,Work-Methods Autonomy,Work Context - Structural Job Charateristics,7
"Geoscientists, Except Hydrologists and Geographers",Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
"Environmental Science Teachers, Postsecondary",Work-Methods Autonomy,Work Context - Structural Job Charateristics,7
Funeral Attendants,Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
Loss Prevention Managers,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
Neurologists,Work-Methods Autonomy,Work Context - Structural Job Charateristics,7
Pharmacists,Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
"Social Work Teachers, Postsecondary",Work-Methods Autonomy,Work Context - Structural Job Charateristics,7
"Electric Motor, Power Tool, and Related Repairers",Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
Ophthalmic Medical Technologists,Work-Methods Autonomy,Work Context - Interpersonal Relationships,5
Surgical Technologists,Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
First-Line Supervisors of Gambling Services Workers,Work-Methods Autonomy,Work Activities - Interacting with Others cont.,5
Motorboat Operators,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
Food Service Managers,Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
Physical Therapist Aides,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
Reinforcing Iron and Rebar Workers,Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
Neurodiagnostic Technologists,Work-Methods Autonomy,Work Context - Structural Job Charateristics,5
Chemical Equipment Operators and Tenders,Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
"Energy Engineers, Except Wind and Solar",Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
"Biological Science Teachers, Postsecondary",Work-Methods Autonomy,Work Context - Structural Job Charateristics,7
Epidemiologists,Work-Methods Autonomy,Work Context - Structural Job Charateristics,7
Telecommunications Engineering Specialists,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
Occupational Health and Safety Specialists,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
Soil and Plant Scientists,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
"Environmental Science and Protection Technicians, Including Health",Work-Methods Autonomy,Work Activities - Interacting with Others,5
Nurse Practitioners,Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
"Buyers and Purchasing Agents, Farm Products",Work-Methods Autonomy,Work Context - Structural Job Charateristics,7
Electricians,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
"Electrical and Electronics Installers and Repairers, Transportation Equipment",Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
Intelligence Analysts,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
"Purchasing Agents, Except Wholesale, Retail, and Farm Products",Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
Quality Control Systems Managers,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
Nuclear Monitoring Technicians,Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
Wind Turbine Service Technicians,Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
Cartographers and Photogrammetrists,Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
Dental Assistants,Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",Work-Methods Autonomy,Work Context - Structural Job Charateristics,7
Desktop Publishers,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
Occupational Therapy Assistants,Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
"Makeup Artists, Theatrical and Performance",Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
Recycling and Reclamation Workers,Work-Methods Autonomy,Work Context - Interpersonal Relationships,5
Costume Attendants,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
Merchandise Displayers and Window Trimmers,Work-Methods Autonomy,Work Context - Interpersonal Relationships,5
Labor Relations Specialists,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
Hydrologists,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
Set and Exhibit Designers,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
Atmospheric and Space Scientists,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
"Computer Science Teachers, Postsecondary",Work-Methods Autonomy,Work Context - Structural Job Charateristics,7
Allergists and Immunologists,Work-Methods Autonomy,Work Context - Structural Job Charateristics,7
Anesthesiologists,Work-Methods Autonomy,Work Context - Structural Job Charateristics,7
"Layout Workers, Metal and Plastic",Work-Methods Autonomy,Work Activities - Interacting with Others,5
Sound Engineering Technicians,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
Printing Press Operators,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
Aircraft Mechanics and Service Technicians,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
Audio and Video Technicians,Work-Methods Autonomy,Work Context - Interpersonal Relationships,7
Broadcast Technicians,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
Mechanical Engineers,Work-Methods Autonomy,Work Context - Structural Job Charateristics,7
Rehabilitation Counselors,Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
"Electronic Equipment Installers and Repairers, Motor Vehicles",Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
Remote Sensing Technicians,Work-Methods Autonomy,Work Context - Interpersonal Relationships,5
Social and Human Service Assistants,Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
Editors,Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
Dental Hygienists,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
Instructional Coordinators,Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
Web Administrators,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
"Roof Bolters, Mining",Work-Methods Autonomy,Work Activities - Interacting with Others,5
Computer Hardware Engineers,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
Foresters,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
Fence Erectors,Work-Methods Autonomy,Work Context - Structural Job Charateristics,7
Fundraisers,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
"Career/Technical Education Teachers, Postsecondary",Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
Pharmacy Aides,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
Writers and Authors,Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
Talent Directors,Work-Methods Autonomy,Work Context - Structural Job Charateristics,7
Upholsterers,Work-Methods Autonomy,Work Context - Structural Job Charateristics,5
Clergy,Work-Methods Autonomy,Work Context - Interpersonal Relationships,7
"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",Work-Methods Autonomy,Work Activities - Interacting with Others,4
Order Clerks,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
Gambling Surveillance Officers and Gambling Investigators,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
"Hotel, Motel, and Resort Desk Clerks",Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
Dietetic Technicians,Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
"Meat, Poultry, and Fish Cutters and Trimmers",Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
"English Language and Literature Teachers, Postsecondary",Work-Methods Autonomy,Work Context - Structural Job Charateristics,7
"Radio, Cellular, and Tower Equipment Installers and Repairers",Work-Methods Autonomy,Work Context - Structural Job Charateristics,7
Biochemists and Biophysicists,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
Fire-Prevention and Protection Engineers,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",Work-Methods Autonomy,Work Activities - Interacting with Others,5
Materials Scientists,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
"Ophthalmologists, Except Pediatric",Work-Methods Autonomy,Work Context - Interpersonal Relationships,7
Computer Numerically Controlled Tool Programmers,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
Logistics Analysts,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
"Chemistry Teachers, Postsecondary",Work-Methods Autonomy,Work Context - Structural Job Charateristics,7
Customs Brokers,Work-Methods Autonomy,Work Activities - Interacting with Others cont.,5
Medical and Clinical Laboratory Technologists,Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
Photographers,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
"Tank Car, Truck, and Ship Loaders",Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
Athletes and Sports Competitors,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
Endoscopy Technicians,Work-Methods Autonomy,Work Context - Interpersonal Relationships,5
Film and Video Editors,Work-Methods Autonomy,Work Context - Interpersonal Relationships,5
Metal-Refining Furnace Operators and Tenders,Work-Methods Autonomy,Work Context - Structural Job Charateristics,5
Veterinary Technologists and Technicians,Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
Butchers and Meat Cutters,Work-Methods Autonomy,Work Context - Interpersonal Relationships,5
First-Line Supervisors of Personal Service Workers,Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
"Cooks, Institution and Cafeteria",Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
Personal Care Aides,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
Actuaries,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
"Agents and Business Managers of Artists, Performers, and Athletes",Work-Methods Autonomy,Work Context - Structural Job Charateristics,7
Curators,Work-Methods Autonomy,Work Context - Structural Job Charateristics,7
Radio Frequency Identification Device Specialists,Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
Clinical Research Coordinators,Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
Coroners,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
Manufacturing Engineers,Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
Mental Health Counselors,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
"Captains, Mates, and Pilots of Water Vessels",Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
Hydroelectric Plant Technicians,Work-Methods Autonomy,Work Context - Interpersonal Relationships,5
Industrial Truck and Tractor Operators,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
Locomotive Engineers,Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
"Library Science Teachers, Postsecondary",Work-Methods Autonomy,Work Context - Structural Job Charateristics,7
"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",Work-Methods Autonomy,Work Context - Structural Job Charateristics,5
"Plumbers, Pipefitters, and Steamfitters",Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
Prepress Technicians and Workers,Work-Methods Autonomy,Work Context - Structural Job Charateristics,5
Computer Systems Analysts,Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
"Cooks, Short Order",Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
"Derrick Operators, Oil and Gas",Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
"Office Machine Operators, Except Computer",Work-Methods Autonomy,Work Context - Interpersonal Relationships,5
Health Education Specialists,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
"Education Teachers, Postsecondary",Work-Methods Autonomy,Work Context - Structural Job Charateristics,7
Fuel Cell Engineers,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
Government Property Inspectors and Investigators,Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
Hazardous Materials Removal Workers,Work-Methods Autonomy,Work Activities - Interacting with Others,5
Human Factors Engineers and Ergonomists,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
Geneticists,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
"Philosophy and Religion Teachers, Postsecondary",Work-Methods Autonomy,Work Context - Structural Job Charateristics,7
Logging Equipment Operators,Work-Methods Autonomy,Work Context - Structural Job Charateristics,5
Avionics Technicians,Work-Methods Autonomy,Work Context - Interpersonal Relationships,5
Semiconductor Processing Technicians,Work-Methods Autonomy,Work Context - Interpersonal Relationships,5
Water and Wastewater Treatment Plant and System Operators,Work-Methods Autonomy,Work Context - Structural Job Charateristics,7
Continuous Mining Machine Operators,Work-Methods Autonomy,Work Context - Interpersonal Relationships,5
"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",Work-Methods Autonomy,Work Context - Interpersonal Relationships,5
Respiratory Therapists,Work-Methods Autonomy,Work Context - Interpersonal Relationships,6
Adapted Physical Education Specialists,Work-Methods Autonomy,Work Context - Structural Job Charateristics,7
Conveyor Operators and Tenders,Work-Methods Autonomy,Work Context - Structural Job Charateristics,6
Executive Secretaries and Executive Administrative Assistants,Work-Methods Autonomy,Work Context - Structural Job Charateristics,7
"Packers and Packagers, Hand",Work-Methods Autonomy,Work Context - Interpersonal Relationships,5
